Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
082665;Cerdanyola del Vallès;28184;29359;57543;
080689;Cervelló;4453;4408;8861;
250729;Cervera;4544;4469;9013;
250735;Cervià de les Garrigues;357;329;686;
170502;Cervià de Ter;462;454;916;
170519;Cistella;140;153;293;
250740;Ciutadilla;110;94;204;
250753;Clariana de Cardener;71;70;141;
250766;Cogul, el;93;81;174;
170545;Colera;262;260;522;
250772;Coll de Nargó;292;282;574;
080692;Collbató;2259;2137;4396;
430458;Colldejou;92;79;171;
080706;Collsuspina;185;164;349;
170558;Colomers;94;94;188;
251636;Coma i la Pedra, la;156;105;261;
251615;Conca de Dalt;228;211;439;
430461;Conesa;60;56;116;
430477;Constantí;3340;3099;6439;
080713;Copons;152;148;300;
430483;Corbera d'Ebre;568;512;1080;
080728;Corbera de Llobregat;7089;7079;14168;
250788;Corbins;751;650;1401;
170577;Corçà;631;618;1249;
080734;Cornellà de Llobregat;41878;44194;86072;
170561;Cornellà del Terri;1171;1108;2279;
430496;Cornudella de Montsant;524;442;966;
430509;Creixell;1759;1708;3467;
170583;Crespià;136;131;267;
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;653;639;1292;
080749;Cubelles;7390;7218;14608;
250791;Cubells;196;177;373;
430516;Cunit;5837;5971;11808;
170600;Darnius;279;271;550;
170617;Das;117;98;215;
439018;Deltebre;5841;5703;11544;
080752;Dosrius;2614;2540;5154;
430537;Duesaigües;136;106;242;
170622;Escala, l';5291;5109;10400;
080765;Esparreguera;11021;10745;21766;
170638;Espinelves;93;108;201;
250812;Espluga Calba, l';189;186;375;
430542;Espluga de Francolí, l';1824;1967;3791;
080771;Esplugues de Llobregat;21979;23754;45733;
170643;Espolla;209;212;421;
170656;Esponellà;226;230;456;
250827;Espot;195;166;361;
